country_name_short,party_id,party_name_short,tw_page_created,month,tw_posts_n_monthly
AUS,184,NCP|NPA,2010-09-20,2013-02-01,5
AUS,184,NCP|NPA,2010-09-20,2013-03-01,9
AUS,184,NCP|NPA,2010-09-20,2013-04-01,3
AUS,184,NCP|NPA,2010-09-20,2013-05-01,7
AUS,184,NCP|NPA,2010-09-20,2013-06-01,21
AUS,184,NCP|NPA,2010-09-20,2013-07-01,15
AUS,184,NCP|NPA,2010-09-20,2013-08-01,85
AUS,184,NCP|NPA,2010-09-20,2013-09-01,11
AUS,184,NCP|NPA,2010-09-20,2013-10-01,5
AUS,184,NCP|NPA,2010-09-20,2013-11-01,5
AUS,184,NCP|NPA,2010-09-20,2013-12-01,22
AUS,184,NCP|NPA,2010-09-20,2014-01-01,3
AUS,184,NCP|NPA,2010-09-20,2014-02-01,4
AUS,184,NCP|NPA,2010-09-20,2014-03-01,6
AUS,184,NCP|NPA,2010-09-20,2014-04-01,21
AUS,184,NCP|NPA,2010-09-20,2014-05-01,24
AUS,184,NCP|NPA,2010-09-20,2014-06-01,9
AUS,184,NCP|NPA,2010-09-20,2014-07-01,20
AUS,184,NCP|NPA,2010-09-20,2014-08-01,95
